id,track_id,source,source_url,source_track_id,bpm,musical_key,camelot_key,genre,label,release_title,release_date,confidence,raw_json,fetched_at
64,3369,beatport,https://www.beatport.com/track/bandolera-/28586912,28586912,128,B Major,1B,Tech House | Latin Tech,MVSON,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/bandolera-/28586912"", ""title"": ""Bandolera Original Mix"", ""rowText"": ""Bandolera Original Mix Dany Gomez, eMbi, Ollie BC MVSON Tech House | Latin Tech 128 BPM - B Major 2026-05-08 $1.69""}",2026-05-29T16:53:43.396764+00:00
65,3370,beatport,https://www.beatport.com/track/me-encanta/28636520,28636520,96,D Major,10B,Tech House | Latin Tech,Clarisse Records,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/me-encanta/28636520"", ""title"": ""Me Encanta Original Mix"", ""rowText"": ""Me Encanta Original Mix Justin Garcia Clarisse Records Tech House | Latin Tech 96 BPM - D Major 2026-05-08 $1.69""}",2026-05-29T16:54:34.773871+00:00
66,3371,beatport,https://www.beatport.com/track/este-mambo/28486653,28486653,130,G Minor,6A,Tech House,Sound D’Elite,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/este-mambo/28486653"", ""title"": ""Este Mambo Extended Mix"", ""rowText"": ""Este Mambo Extended Mix Tony Romera, Cyava Sound D’Elite Tech House 130 BPM - G Minor 2026-05-08 $1.69""}",2026-05-29T16:54:59.692890+00:00
67,3372,beatport,https://www.beatport.com/track/mc-space-/28618558,28618558,128,E Major,12B,Tech House,BANDIDOS,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/mc-space-/28618558"", ""title"": ""MC Space Original Mix"", ""rowText"": ""MC Space Original Mix Gianni Firmaio BANDIDOS Tech House 128 BPM - E Major 2026-05-08 $1.69""}",2026-05-29T16:55:17.505770+00:00
68,3373,beatport,https://www.beatport.com/track/cant-sleep/28486651,28486651,126,F Minor,4A,Tech House,Sound D’Elite,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/cant-sleep/28486651"", ""title"": ""Can't Sleep Extended Mix"", ""rowText"": ""Can't Sleep Extended Mix Tony Romera Sound D’Elite Tech House 126 BPM - F Minor 2026-05-08 $1.69""}",2026-05-29T16:55:38.296832+00:00
69,3374,beatport,https://www.beatport.com/track/gold-roses-/28478593,28478593,128,F Minor,4A,Tech House,Mood Child,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/gold-roses-/28478593"", ""title"": ""Gold Roses Original Mix"", ""rowText"": ""Gold Roses Original Mix Paul C Mood Child Tech House 128 BPM - F Minor 2026-05-08 $1.69""}",2026-05-29T16:56:10.265829+00:00
70,3375,beatport,https://www.beatport.com/track/another-fact-ft-stee-downes-original-mix/28478588,28478588,128,Eb Major,5B,Tech House,Mood Child,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/another-fact-ft-stee-downes-original-mix/28478588"", ""title"": ""Another Fact (Ft. Stee Downes) (Original Mix) Ft. Stee Downes"", ""rowText"": ""Another Fact (Ft. Stee Downes) (Original Mix) Ft. Stee Downes RSquared Mood Child Tech House 128 BPM - Eb Major 2026-05-08 $1.69""}",2026-05-29T16:56:30.208379+00:00
71,3376,beatport,https://www.beatport.com/track/dancing-all-night-long/28898781,28898781,131,Eb Minor,2A,Minimal / Deep Tech,Hottrax,,2026-06-05,manual-search-result,"{""url"": ""https://www.beatport.com/track/dancing-all-night-long/28898781"", ""title"": ""Dancing All Night Long Original Mix"", ""rowText"": ""Dancing All Night Long Original Mix Greggio, MEDUK Hottrax Minimal / Deep Tech 131 BPM - Eb Minor 2026-06-05 $1.69""}",2026-05-29T16:56:51.917941+00:00
74,3377,beatport,https://www.beatport.com/track/deep-house-pumpin-/28592127,28592127,130,Ab Minor,1A,Tech House,Black Book Records,,2026-05-08,manual-search-result,"{""url"": ""https://www.beatport.com/track/deep-house-pumpin-/28592127"", ""title"": ""Deep House Pumpin' Extended Mix"", ""rowText"": ""Deep House Pumpin' Extended Mix Sapian, AVIV SAB Black Book Records Tech House 130 BPM - Ab Minor 2026-05-08 $1.69""}",2026-05-29T16:58:54.295962+00:00
72,3378,beatport,https://www.beatport.com/track/safari-/29036273,29036273,129,Bb Minor,3A,House,Magnetic People,,2026-06-12,manual-search-result,"{""url"": ""https://www.beatport.com/track/safari-/29036273"", ""title"": ""Safari Original Mix"", ""rowText"": ""Safari Original Mix Caal, BizZa Magnetic People House 129 BPM - Bb Minor 2026-06-12 $2.49""}",2026-05-29T16:57:34.209232+00:00
